img,label
D:/study/iris/CASIA-Iris-Thousand\505\L\S5505L03.jpg,505
D:/study/iris/CASIA-Iris-Thousand\949\R\S5949R04.jpg,949
D:/study/iris/CASIA-Iris-Thousand\302\R\S5302R08.jpg,302
D:/study/iris/CASIA-Iris-Thousand\944\R\S5944R04.jpg,944
D:/study/iris/CASIA-Iris-Thousand\321\L\S5321L04.jpg,321
D:/study/iris/CASIA-Iris-Thousand\087\L\S5087L03.jpg,87
D:/study/iris/CASIA-Iris-Thousand\291\L\S5291L03.jpg,291
D:/study/iris/CASIA-Iris-Thousand\925\L\S5925L00.jpg,925
D:/study/iris/CASIA-Iris-Thousand\489\R\S5489R01.jpg,489
D:/study/iris/CASIA-Iris-Thousand\667\L\S5667L09.jpg,667
D:/study/iris/CASIA-Iris-Thousand\041\L\S5041L00.jpg,41
D:/study/iris/CASIA-Iris-Thousand\536\L\S5536L06.jpg,536
D:/study/iris/CASIA-Iris-Thousand\903\R\S5903R02.jpg,903
D:/study/iris/CASIA-Iris-Thousand\045\R\S5045R08.jpg,45
D:/study/iris/CASIA-Iris-Thousand\844\R\S5844R05.jpg,844
D:/study/iris/CASIA-Iris-Thousand\214\L\S5214L04.jpg,214
D:/study/iris/CASIA-Iris-Thousand\830\L\S5830L06.jpg,830
D:/study/iris/CASIA-Iris-Thousand\522\R\S5522R00.jpg,522
D:/study/iris/CASIA-Iris-Thousand\959\L\S5959L01.jpg,959
D:/study/iris/CASIA-Iris-Thousand\252\R\S5252R06.jpg,252
D:/study/iris/CASIA-Iris-Thousand\167\L\S5167L09.jpg,167
D:/study/iris/CASIA-Iris-Thousand\881\L\S5881L04.jpg,881
D:/study/iris/CASIA-Iris-Thousand\406\R\S5406R02.jpg,406
D:/study/iris/CASIA-Iris-Thousand\655\R\S5655R08.jpg,655
D:/study/iris/CASIA-Iris-Thousand\347\L\S5347L00.jpg,347
D:/study/iris/CASIA-Iris-Thousand\155\R\S5155R03.jpg,155
D:/study/iris/CASIA-Iris-Thousand\370\L\S5370L01.jpg,370
D:/study/iris/CASIA-Iris-Thousand\903\R\S5903R05.jpg,903
D:/study/iris/CASIA-Iris-Thousand\861\R\S5861R09.jpg,861
D:/study/iris/CASIA-Iris-Thousand\345\L\S5345L05.jpg,345
D:/study/iris/CASIA-Iris-Thousand\493\R\S5493R06.jpg,493
D:/study/iris/CASIA-Iris-Thousand\632\R\S5632R05.jpg,632
D:/study/iris/CASIA-Iris-Thousand\041\L\S5041L08.jpg,41
D:/study/iris/CASIA-Iris-Thousand\993\R\S5993R03.jpg,993
D:/study/iris/CASIA-Iris-Thousand\503\R\S5503R00.jpg,503
D:/study/iris/CASIA-Iris-Thousand\928\R\S5928R07.jpg,928
D:/study/iris/CASIA-Iris-Thousand\874\L\S5874L08.jpg,874
D:/study/iris/CASIA-Iris-Thousand\217\L\S5217L09.jpg,217
D:/study/iris/CASIA-Iris-Thousand\009\R\S5009R05.jpg,9
D:/study/iris/CASIA-Iris-Thousand\261\R\S5261R02.jpg,261
D:/study/iris/CASIA-Iris-Thousand\635\R\S5635R04.jpg,635
D:/study/iris/CASIA-Iris-Thousand\011\L\S5011L03.jpg,11
D:/study/iris/CASIA-Iris-Thousand\090\L\S5090L09.jpg,90
D:/study/iris/CASIA-Iris-Thousand\251\R\S5251R03.jpg,251
D:/study/iris/CASIA-Iris-Thousand\653\R\S5653R08.jpg,653
D:/study/iris/CASIA-Iris-Thousand\055\R\S5055R06.jpg,55
D:/study/iris/CASIA-Iris-Thousand\423\R\S5423R02.jpg,423
D:/study/iris/CASIA-Iris-Thousand\803\L\S5803L05.jpg,803
D:/study/iris/CASIA-Iris-Thousand\965\R\S5965R02.jpg,965
D:/study/iris/CASIA-Iris-Thousand\280\R\S5280R07.jpg,280
D:/study/iris/CASIA-Iris-Thousand\833\L\S5833L03.jpg,833
D:/study/iris/CASIA-Iris-Thousand\779\R\S5779R03.jpg,779
D:/study/iris/CASIA-Iris-Thousand\456\R\S5456R05.jpg,456
D:/study/iris/CASIA-Iris-Thousand\326\L\S5326L09.jpg,326
D:/study/iris/CASIA-Iris-Thousand\998\L\S5998L06.jpg,998
D:/study/iris/CASIA-Iris-Thousand\317\R\S5317R06.jpg,317
D:/study/iris/CASIA-Iris-Thousand\513\R\S5513R02.jpg,513
D:/study/iris/CASIA-Iris-Thousand\586\L\S5586L07.jpg,586
D:/study/iris/CASIA-Iris-Thousand\656\L\S5656L04.jpg,656
D:/study/iris/CASIA-Iris-Thousand\517\R\S5517R04.jpg,517
D:/study/iris/CASIA-Iris-Thousand\533\R\S5533R09.jpg,533
D:/study/iris/CASIA-Iris-Thousand\010\R\S5010R07.jpg,10
D:/study/iris/CASIA-Iris-Thousand\009\R\S5009R03.jpg,9
D:/study/iris/CASIA-Iris-Thousand\798\L\S5798L02.jpg,798
D:/study/iris/CASIA-Iris-Thousand\673\L\S5673L02.jpg,673
D:/study/iris/CASIA-Iris-Thousand\334\R\S5334R08.jpg,334
D:/study/iris/CASIA-Iris-Thousand\616\L\S5616L03.jpg,616
D:/study/iris/CASIA-Iris-Thousand\881\R\S5881R05.jpg,881
D:/study/iris/CASIA-Iris-Thousand\933\R\S5933R01.jpg,933
D:/study/iris/CASIA-Iris-Thousand\971\R\S5971R02.jpg,971
D:/study/iris/CASIA-Iris-Thousand\988\R\S5988R00.jpg,988
D:/study/iris/CASIA-Iris-Thousand\712\R\S5712R02.jpg,712
D:/study/iris/CASIA-Iris-Thousand\315\R\S5315R08.jpg,315
D:/study/iris/CASIA-Iris-Thousand\881\L\S5881L07.jpg,881
D:/study/iris/CASIA-Iris-Thousand\149\L\S5149L02.jpg,149
D:/study/iris/CASIA-Iris-Thousand\831\L\S5831L04.jpg,831
D:/study/iris/CASIA-Iris-Thousand\329\R\S5329R04.jpg,329
D:/study/iris/CASIA-Iris-Thousand\786\L\S5786L07.jpg,786
D:/study/iris/CASIA-Iris-Thousand\885\L\S5885L06.jpg,885
D:/study/iris/CASIA-Iris-Thousand\271\L\S5271L00.jpg,271
D:/study/iris/CASIA-Iris-Thousand\654\L\S5654L08.jpg,654
D:/study/iris/CASIA-Iris-Thousand\044\L\S5044L02.jpg,44
D:/study/iris/CASIA-Iris-Thousand\397\L\S5397L05.jpg,397
D:/study/iris/CASIA-Iris-Thousand\453\R\S5453R04.jpg,453
D:/study/iris/CASIA-Iris-Thousand\072\R\S5072R00.jpg,72
D:/study/iris/CASIA-Iris-Thousand\739\R\S5739R09.jpg,739
D:/study/iris/CASIA-Iris-Thousand\539\R\S5539R06.jpg,539
D:/study/iris/CASIA-Iris-Thousand\182\L\S5182L00.jpg,182
D:/study/iris/CASIA-Iris-Thousand\592\R\S5592R00.jpg,592
D:/study/iris/CASIA-Iris-Thousand\667\L\S5667L03.jpg,667
D:/study/iris/CASIA-Iris-Thousand\122\L\S5122L00.jpg,122
D:/study/iris/CASIA-Iris-Thousand\943\R\S5943R00.jpg,943
D:/study/iris/CASIA-Iris-Thousand\511\R\S5511R04.jpg,511
D:/study/iris/CASIA-Iris-Thousand\729\R\S5729R03.jpg,729
D:/study/iris/CASIA-Iris-Thousand\333\R\S5333R04.jpg,333
D:/study/iris/CASIA-Iris-Thousand\911\R\S5911R05.jpg,911
D:/study/iris/CASIA-Iris-Thousand\091\R\S5091R05.jpg,91
D:/study/iris/CASIA-Iris-Thousand\865\L\S5865L08.jpg,865
D:/study/iris/CASIA-Iris-Thousand\058\L\S5058L02.jpg,58
D:/study/iris/CASIA-Iris-Thousand\422\R\S5422R08.jpg,422
D:/study/iris/CASIA-Iris-Thousand\160\R\S5160R04.jpg,160
D:/study/iris/CASIA-Iris-Thousand\410\L\S5410L07.jpg,410
D:/study/iris/CASIA-Iris-Thousand\498\R\S5498R05.jpg,498
D:/study/iris/CASIA-Iris-Thousand\700\R\S5700R08.jpg,700
D:/study/iris/CASIA-Iris-Thousand\139\R\S5139R06.jpg,139
D:/study/iris/CASIA-Iris-Thousand\610\L\S5610L02.jpg,610
D:/study/iris/CASIA-Iris-Thousand\370\R\S5370R01.jpg,370
D:/study/iris/CASIA-Iris-Thousand\288\R\S5288R05.jpg,288
D:/study/iris/CASIA-Iris-Thousand\109\R\S5109R03.jpg,109
D:/study/iris/CASIA-Iris-Thousand\718\L\S5718L06.jpg,718
D:/study/iris/CASIA-Iris-Thousand\285\L\S5285L03.jpg,285
D:/study/iris/CASIA-Iris-Thousand\623\R\S5623R09.jpg,623
D:/study/iris/CASIA-Iris-Thousand\095\R\S5095R02.jpg,95
D:/study/iris/CASIA-Iris-Thousand\745\R\S5745R00.jpg,745
D:/study/iris/CASIA-Iris-Thousand\694\L\S5694L06.jpg,694
D:/study/iris/CASIA-Iris-Thousand\212\L\S5212L07.jpg,212
D:/study/iris/CASIA-Iris-Thousand\825\R\S5825R05.jpg,825
D:/study/iris/CASIA-Iris-Thousand\276\R\S5276R08.jpg,276
D:/study/iris/CASIA-Iris-Thousand\431\R\S5431R01.jpg,431
D:/study/iris/CASIA-Iris-Thousand\875\R\S5875R08.jpg,875
D:/study/iris/CASIA-Iris-Thousand\115\R\S5115R05.jpg,115
D:/study/iris/CASIA-Iris-Thousand\555\R\S5555R05.jpg,555
D:/study/iris/CASIA-Iris-Thousand\138\R\S5138R04.jpg,138
D:/study/iris/CASIA-Iris-Thousand\847\R\S5847R05.jpg,847
D:/study/iris/CASIA-Iris-Thousand\501\L\S5501L06.jpg,501
D:/study/iris/CASIA-Iris-Thousand\053\R\S5053R07.jpg,53
D:/study/iris/CASIA-Iris-Thousand\119\L\S5119L07.jpg,119
D:/study/iris/CASIA-Iris-Thousand\252\R\S5252R00.jpg,252
D:/study/iris/CASIA-Iris-Thousand\948\R\S5948R01.jpg,948
D:/study/iris/CASIA-Iris-Thousand\651\L\S5651L01.jpg,651
D:/study/iris/CASIA-Iris-Thousand\867\R\S5867R06.jpg,867
D:/study/iris/CASIA-Iris-Thousand\901\R\S5901R06.jpg,901
D:/study/iris/CASIA-Iris-Thousand\606\R\S5606R09.jpg,606
D:/study/iris/CASIA-Iris-Thousand\824\R\S5824R01.jpg,824
D:/study/iris/CASIA-Iris-Thousand\957\L\S5957L04.jpg,957
D:/study/iris/CASIA-Iris-Thousand\295\L\S5295L04.jpg,295
D:/study/iris/CASIA-Iris-Thousand\071\R\S5071R06.jpg,71
D:/study/iris/CASIA-Iris-Thousand\616\R\S5616R05.jpg,616
D:/study/iris/CASIA-Iris-Thousand\425\L\S5425L09.jpg,425
D:/study/iris/CASIA-Iris-Thousand\029\L\S5029L01.jpg,29
D:/study/iris/CASIA-Iris-Thousand\754\L\S5754L07.jpg,754
D:/study/iris/CASIA-Iris-Thousand\556\L\S5556L01.jpg,556
D:/study/iris/CASIA-Iris-Thousand\861\R\S5861R08.jpg,861
D:/study/iris/CASIA-Iris-Thousand\356\L\S5356L06.jpg,356
D:/study/iris/CASIA-Iris-Thousand\097\R\S5097R09.jpg,97
D:/study/iris/CASIA-Iris-Thousand\219\R\S5219R06.jpg,219
D:/study/iris/CASIA-Iris-Thousand\294\R\S5294R04.jpg,294
D:/study/iris/CASIA-Iris-Thousand\809\R\S5809R08.jpg,809
D:/study/iris/CASIA-Iris-Thousand\273\L\S5273L00.jpg,273
D:/study/iris/CASIA-Iris-Thousand\170\L\S5170L02.jpg,170
D:/study/iris/CASIA-Iris-Thousand\945\R\S5945R04.jpg,945
D:/study/iris/CASIA-Iris-Thousand\307\R\S5307R09.jpg,307
D:/study/iris/CASIA-Iris-Thousand\744\L\S5744L05.jpg,744
D:/study/iris/CASIA-Iris-Thousand\900\R\S5900R08.jpg,900
D:/study/iris/CASIA-Iris-Thousand\996\R\S5996R02.jpg,996
D:/study/iris/CASIA-Iris-Thousand\595\R\S5595R03.jpg,595
D:/study/iris/CASIA-Iris-Thousand\344\R\S5344R06.jpg,344
D:/study/iris/CASIA-Iris-Thousand\905\L\S5905L08.jpg,905
D:/study/iris/CASIA-Iris-Thousand\463\R\S5463R00.jpg,463
D:/study/iris/CASIA-Iris-Thousand\666\R\S5666R03.jpg,666
D:/study/iris/CASIA-Iris-Thousand\450\L\S5450L08.jpg,450
D:/study/iris/CASIA-Iris-Thousand\325\L\S5325L02.jpg,325
D:/study/iris/CASIA-Iris-Thousand\323\L\S5323L09.jpg,323
D:/study/iris/CASIA-Iris-Thousand\386\L\S5386L08.jpg,386
D:/study/iris/CASIA-Iris-Thousand\725\L\S5725L08.jpg,725
D:/study/iris/CASIA-Iris-Thousand\432\L\S5432L03.jpg,432
D:/study/iris/CASIA-Iris-Thousand\674\R\S5674R08.jpg,674
D:/study/iris/CASIA-Iris-Thousand\451\R\S5451R01.jpg,451
D:/study/iris/CASIA-Iris-Thousand\928\L\S5928L01.jpg,928
D:/study/iris/CASIA-Iris-Thousand\771\L\S5771L05.jpg,771
D:/study/iris/CASIA-Iris-Thousand\688\L\S5688L02.jpg,688
D:/study/iris/CASIA-Iris-Thousand\778\L\S5778L07.jpg,778
D:/study/iris/CASIA-Iris-Thousand\685\L\S5685L03.jpg,685
D:/study/iris/CASIA-Iris-Thousand\081\L\S5081L01.jpg,81
D:/study/iris/CASIA-Iris-Thousand\186\L\S5186L04.jpg,186
D:/study/iris/CASIA-Iris-Thousand\035\L\S5035L00.jpg,35
D:/study/iris/CASIA-Iris-Thousand\258\R\S5258R07.jpg,258
D:/study/iris/CASIA-Iris-Thousand\519\L\S5519L05.jpg,519
D:/study/iris/CASIA-Iris-Thousand\200\L\S5200L01.jpg,200
D:/study/iris/CASIA-Iris-Thousand\582\R\S5582R06.jpg,582
D:/study/iris/CASIA-Iris-Thousand\864\L\S5864L07.jpg,864
D:/study/iris/CASIA-Iris-Thousand\057\L\S5057L03.jpg,57
D:/study/iris/CASIA-Iris-Thousand\985\R\S5985R02.jpg,985
D:/study/iris/CASIA-Iris-Thousand\484\L\S5484L07.jpg,484
D:/study/iris/CASIA-Iris-Thousand\325\L\S5325L04.jpg,325
D:/study/iris/CASIA-Iris-Thousand\536\L\S5536L08.jpg,536
D:/study/iris/CASIA-Iris-Thousand\924\L\S5924L09.jpg,924
D:/study/iris/CASIA-Iris-Thousand\811\L\S5811L00.jpg,811
D:/study/iris/CASIA-Iris-Thousand\881\L\S5881L09.jpg,881
D:/study/iris/CASIA-Iris-Thousand\868\R\S5868R09.jpg,868
D:/study/iris/CASIA-Iris-Thousand\632\L\S5632L05.jpg,632
D:/study/iris/CASIA-Iris-Thousand\826\L\S5826L00.jpg,826
D:/study/iris/CASIA-Iris-Thousand\073\R\S5073R06.jpg,73
D:/study/iris/CASIA-Iris-Thousand\599\R\S5599R05.jpg,599
D:/study/iris/CASIA-Iris-Thousand\208\R\S5208R06.jpg,208
D:/study/iris/CASIA-Iris-Thousand\040\L\S5040L07.jpg,40
D:/study/iris/CASIA-Iris-Thousand\452\R\S5452R05.jpg,452
D:/study/iris/CASIA-Iris-Thousand\656\R\S5656R00.jpg,656
D:/study/iris/CASIA-Iris-Thousand\528\R\S5528R02.jpg,528
D:/study/iris/CASIA-Iris-Thousand\566\L\S5566L01.jpg,566
D:/study/iris/CASIA-Iris-Thousand\051\L\S5051L02.jpg,51
D:/study/iris/CASIA-Iris-Thousand\726\L\S5726L08.jpg,726
D:/study/iris/CASIA-Iris-Thousand\667\L\S5667L01.jpg,667
D:/study/iris/CASIA-Iris-Thousand\895\R\S5895R03.jpg,895
D:/study/iris/CASIA-Iris-Thousand\547\R\S5547R00.jpg,547
D:/study/iris/CASIA-Iris-Thousand\988\L\S5988L07.jpg,988
D:/study/iris/CASIA-Iris-Thousand\901\R\S5901R04.jpg,901
D:/study/iris/CASIA-Iris-Thousand\791\R\S5791R06.jpg,791
D:/study/iris/CASIA-Iris-Thousand\773\L\S5773L05.jpg,773
D:/study/iris/CASIA-Iris-Thousand\614\L\S5614L01.jpg,614
D:/study/iris/CASIA-Iris-Thousand\800\R\S5800R01.jpg,800
D:/study/iris/CASIA-Iris-Thousand\426\R\S5426R09.jpg,426
D:/study/iris/CASIA-Iris-Thousand\207\L\S5207L06.jpg,207
D:/study/iris/CASIA-Iris-Thousand\070\R\S5070R01.jpg,70
D:/study/iris/CASIA-Iris-Thousand\395\L\S5395L00.jpg,395
D:/study/iris/CASIA-Iris-Thousand\485\R\S5485R06.jpg,485
D:/study/iris/CASIA-Iris-Thousand\683\R\S5683R01.jpg,683
D:/study/iris/CASIA-Iris-Thousand\177\R\S5177R02.jpg,177
D:/study/iris/CASIA-Iris-Thousand\939\L\S5939L03.jpg,939
D:/study/iris/CASIA-Iris-Thousand\865\R\S5865R07.jpg,865
D:/study/iris/CASIA-Iris-Thousand\292\R\S5292R09.jpg,292
D:/study/iris/CASIA-Iris-Thousand\110\L\S5110L06.jpg,110
D:/study/iris/CASIA-Iris-Thousand\646\R\S5646R05.jpg,646
D:/study/iris/CASIA-Iris-Thousand\111\L\S5111L09.jpg,111
D:/study/iris/CASIA-Iris-Thousand\798\R\S5798R03.jpg,798
D:/study/iris/CASIA-Iris-Thousand\501\R\S5501R06.jpg,501
D:/study/iris/CASIA-Iris-Thousand\738\L\S5738L09.jpg,738
D:/study/iris/CASIA-Iris-Thousand\358\L\S5358L01.jpg,358
D:/study/iris/CASIA-Iris-Thousand\311\L\S5311L08.jpg,311
D:/study/iris/CASIA-Iris-Thousand\360\R\S5360R00.jpg,360
D:/study/iris/CASIA-Iris-Thousand\756\L\S5756L08.jpg,756
D:/study/iris/CASIA-Iris-Thousand\561\L\S5561L02.jpg,561
D:/study/iris/CASIA-Iris-Thousand\473\R\S5473R08.jpg,473
D:/study/iris/CASIA-Iris-Thousand\761\R\S5761R08.jpg,761
D:/study/iris/CASIA-Iris-Thousand\559\R\S5559R06.jpg,559
D:/study/iris/CASIA-Iris-Thousand\741\L\S5741L06.jpg,741
D:/study/iris/CASIA-Iris-Thousand\556\R\S5556R09.jpg,556
D:/study/iris/CASIA-Iris-Thousand\045\L\S5045L07.jpg,45
D:/study/iris/CASIA-Iris-Thousand\036\L\S5036L08.jpg,36
D:/study/iris/CASIA-Iris-Thousand\966\L\S5966L00.jpg,966
D:/study/iris/CASIA-Iris-Thousand\466\R\S5466R02.jpg,466
D:/study/iris/CASIA-Iris-Thousand\496\L\S5496L06.jpg,496
D:/study/iris/CASIA-Iris-Thousand\705\L\S5705L05.jpg,705
D:/study/iris/CASIA-Iris-Thousand\305\R\S5305R02.jpg,305
D:/study/iris/CASIA-Iris-Thousand\385\R\S5385R04.jpg,385
D:/study/iris/CASIA-Iris-Thousand\399\L\S5399L01.jpg,399
D:/study/iris/CASIA-Iris-Thousand\289\R\S5289R06.jpg,289
D:/study/iris/CASIA-Iris-Thousand\125\R\S5125R03.jpg,125
D:/study/iris/CASIA-Iris-Thousand\464\R\S5464R07.jpg,464
D:/study/iris/CASIA-Iris-Thousand\828\R\S5828R01.jpg,828
D:/study/iris/CASIA-Iris-Thousand\032\L\S5032L09.jpg,32
D:/study/iris/CASIA-Iris-Thousand\483\R\S5483R05.jpg,483
